,id,date,code,name,open,high,low,close,volume,money,change_pct
0,1875673,2020-04-21,801210,餐饮旅游,5601.24,5602.36,5494.36,5573.18,328018851.0,2929210451.82,-0.54
1,1875141,2020-04-20,801210,餐饮旅游,5582.88,5629.62,5512.53,5603.27,354652480.0,3389129928.43,0.93
2,1874609,2020-04-17,801210,餐饮旅游,5418.14,5609.13,5418.14,5551.73,379894814.0,4301937976.83,4.12
3,1874077,2020-04-16,801210,餐饮旅游,5308.39,5344.57,5284.45,5331.81,239638853.0,2177869993.61,-0.25
4,1873545,2020-04-15,801210,餐饮旅游,5451.59,5451.59,5318.2,5344.93,326115898.0,2976889170.79,-2.26
5,1873019,2020-04-14,801210,餐饮旅游,5431.91,5468.42,5365.59,5468.42,336332820.0,3335135518.11,1.21
6,1872487,2020-04-13,801210,餐饮旅游,5364.04,5422.35,5337.16,5403.21,327977458.0,2775827338.18,-0.05
7,1871955,2020-04-10,801210,餐饮旅游,5433.35,5543.19,5370.32,5405.7,367040987.0,3184999313.53,-0.91
8,1871423,2020-04-09,801210,餐饮旅游,5384.25,5457.79,5345.05,5455.27,448066752.0,3673274059.54,1.71
9,1870891,2020-04-08,801210,餐饮旅游,5247.94,5413.09,5247.94,5363.68,484615989.0,4201866784.52,1.41
10,1870359,2020-04-07,801210,餐饮旅游,5253.93,5296.35,5243.11,5289.29,335011479.0,3757641148.33,3.45
11,1869827,2020-04-03,801210,餐饮旅游,5075.73,5175.79,5075.73,5112.66,294561155.0,2759388682.32,0.66
12,1869295,2020-04-02,801210,餐饮旅游,4922.9,5079.28,4917.15,5079.28,248013685.0,2557221216.32,2.78
13,1868763,2020-04-01,801210,餐饮旅游,4911.05,5058.04,4908.59,4941.76,262081734.0,2809628952.36,0.19
14,1868231,2020-03-31,801210,餐饮旅游,5005.86,5005.86,4917.58,4932.43,301728163.0,2829116776.73,-0.7
15,1867699,2020-03-30,801210,餐饮旅游,5146.6,5146.6,4898.08,4967.33,391960429.0,4328749888.15,-5.4
16,1867167,2020-03-27,801210,餐饮旅游,5334.91,5334.91,5250.63,5250.63,361817199.0,3310132101.27,-0.58
17,1866635,2020-03-26,801210,餐饮旅游,5319.51,5354.89,5266.73,5281.01,404300193.0,3655343212.5,-2.22
18,1866103,2020-03-25,801210,餐饮旅游,5412.16,5433.26,5284.72,5400.88,492292831.0,5174827761.43,1.92
19,1865571,2020-03-24,801210,餐饮旅游,5281.43,5369.57,5199.28,5299.19,459899546.0,4018604828.45,1.68
20,1865039,2020-03-23,801210,餐饮旅游,5300.21,5338.33,5210.78,5211.72,624165163.0,4950699263.3,-4.78
21,1864507,2020-03-20,801210,餐饮旅游,5274.03,5504.75,5245.14,5473.28,651355103.0,5542708049.26,4.93
22,1863975,2020-03-19,801210,餐饮旅游,5276.31,5355.93,5112.97,5216.1,436882171.0,4138334749.02,-1.95
23,1863443,2020-03-18,801210,餐饮旅游,5465.59,5499.52,5289.69,5320.05,489903758.0,4113455612.94,-2.14
24,1862911,2020-03-17,801210,餐饮旅游,5517.11,5595.68,5300.74,5436.52,563796795.0,4318849919.57,-1.39
25,1862379,2020-03-16,801210,餐饮旅游,5770.35,5794.75,5513.33,5513.33,450776581.0,5184827296.33,-4.86
26,1861847,2020-03-13,801210,餐饮旅游,5389.14,5817.39,5389.14,5794.75,477643865.0,5725972547.26,2.62
27,1861315,2020-03-12,801210,餐饮旅游,5718.89,5729.74,5623.48,5646.98,418860103.0,4169878738.71,-2.81
28,1860783,2020-03-11,801210,餐饮旅游,5703.93,5897.98,5676.32,5810.27,476656514.0,5451003151.47,1.7
29,1860251,2020-03-10,801210,餐饮旅游,5477.84,5725.56,5474.73,5713.17,352878295.0,3896056794.72,3.58
30,1859719,2020-03-09,801210,餐饮旅游,5670.5,5670.5,5499.47,5515.77,319489535.0,3833293809.76,-4.47
31,1859187,2020-03-06,801210,餐饮旅游,5744.66,5803.85,5738.92,5773.9,277477907.0,3101381594.21,-0.72
32,1858655,2020-03-05,801210,餐饮旅游,5607.11,5841.53,5607.11,5816.03,370595113.0,5045615885.95,4.56
33,1858123,2020-03-04,801210,餐饮旅游,5544.66,5569.06,5480.27,5562.63,260441239.0,2643699390.98,0.08
34,1857591,2020-03-03,801210,餐饮旅游,5604.66,5621.03,5544.63,5557.95,299589771.0,3345188415.61,0.24
35,1857059,2020-03-02,801210,餐饮旅游,5449.71,5564.7,5435.95,5544.87,304436172.0,3534344455.94,1.56
36,1856527,2020-02-28,801210,餐饮旅游,5432.46,5532.32,5397.65,5459.63,356783879.0,3935606595.02,-3.28
37,1855995,2020-02-27,801210,餐饮旅游,5636.38,5709.15,5636.05,5644.82,417673787.0,4334913345.78,0.7
38,1855463,2020-02-26,801210,餐饮旅游,5585.81,5674.01,5574.98,5605.5,315213340.0,3589363029.41,-0.91
39,1854931,2020-02-25,801210,餐饮旅游,5618.46,5662.27,5545.76,5656.91,335773579.0,3438794581.7,-1.23
40,1854399,2020-02-24,801210,餐饮旅游,5782.1,5802.88,5711.95,5727.59,345293439.0,4191314177.92,-2.39
41,1853867,2020-02-21,801210,餐饮旅游,5912.61,5912.61,5832.78,5867.65,365795249.0,4097621743.91,-1.22
42,1853335,2020-02-20,801210,餐饮旅游,5796.83,5940.14,5796.83,5940.14,419793863.0,5928169531.23,3.6
43,1852803,2020-02-19,801210,餐饮旅游,5553.78,5733.72,5543.65,5733.72,290815694.0,3996318897.24,2.81
44,1852271,2020-02-18,801210,餐饮旅游,5592.63,5598.74,5533.37,5576.82,256998968.0,3283789192.91,-0.08
45,1851739,2020-02-17,801210,餐饮旅游,5492.68,5582.27,5492.68,5581.36,237352224.0,3216895580.36,1.57
46,1851207,2020-02-14,801210,餐饮旅游,5419.81,5499.52,5417.37,5494.97,174403019.0,2684891610.41,0.99
47,1850675,2020-02-13,801210,餐饮旅游,5508.57,5508.97,5420.68,5440.89,218514004.0,2881388494.16,-1.62
48,1850143,2020-02-12,801210,餐饮旅游,5477.72,5530.49,5466.98,5530.49,239140856.0,2946351315.26,0.8
49,1849611,2020-02-11,801210,餐饮旅游,5452.09,5502.62,5437.95,5486.65,236588266.0,3214271761.46,0.97
50,1849079,2020-02-10,801210,餐饮旅游,5391.65,5472.88,5349.78,5434.03,270824621.0,3422472324.77,-0.28
51,1848547,2020-02-07,801210,餐饮旅游,5351.89,5450.08,5293.62,5449.51,321895529.0,4316201343.64,1.23
52,1848015,2020-02-06,801210,餐饮旅游,5281.91,5383.24,5228.41,5383.24,326473162.0,4344291691.57,2.58
53,1847749,2020-02-05,801210,餐饮旅游,5203.85,5257.82,5186.13,5247.77,344225606.0,4807194273.06,2.6
54,1847217,2020-02-04,801210,餐饮旅游,4998.61,5140.36,4998.61,5114.73,435228605.0,5343466149.0,-0.12
55,1846685,2020-02-03,801210,餐饮旅游,5076.19,5142.56,5076.19,5120.69,137886752.0,3466110865.23,-9.12
56,1846153,2020-01-23,801210,餐饮旅游,5724.3,5757.56,5562.96,5634.85,298441199.0,4788511270.25,-3.61
57,1845621,2020-01-22,801210,餐饮旅游,5774.25,5888.56,5730.08,5846.0,237541386.0,3940181015.03,0.49
58,1845089,2020-01-21,801210,餐饮旅游,5939.24,5939.46,5806.77,5817.52,300923747.0,5296240074.49,-3.36
59,1844557,2020-01-20,801210,餐饮旅游,6209.44,6209.44,5954.4,6020.06,304654750.0,5470120986.06,-3.72
60,1844025,2020-01-17,801210,餐饮旅游,6290.65,6308.28,6239.0,6252.9,123193649.0,1786597076.11,-0.33
61,1843493,2020-01-16,801210,餐饮旅游,6287.78,6301.56,6251.67,6273.34,139598664.0,1980937211.86,0.12
62,1842961,2020-01-15,801210,餐饮旅游,6295.07,6295.3,6239.23,6265.94,148221032.0,1994981319.98,-0.55
63,1842429,2020-01-14,801210,餐饮旅游,6399.77,6399.77,6282.25,6300.79,172266990.0,2784345379.5,-1.13
64,1841897,2020-01-13,801210,餐饮旅游,6365.71,6379.58,6324.69,6372.52,185048992.0,3488204736.72,-1.46
65,1841365,2020-01-10,801210,餐饮旅游,6499.29,6499.29,6448.3,6467.01,166897040.0,1953458816.08,0.18
66,1840833,2020-01-09,801210,餐饮旅游,6369.57,6478.32,6368.51,6455.57,162367480.0,2311277514.73,2.13
67,1840301,2020-01-08,801210,餐饮旅游,6324.78,6369.33,6302.16,6321.04,247464037.0,2703324777.06,-0.83
