,id,date,code,name,open,high,low,close,volume,money,change_pct
0,1875706,2020-04-21,801030,化工,2618.66,2618.84,2588.66,2608.66,4394712753.0,42712811295.08,-0.72
1,1875174,2020-04-20,801030,化工,2598.68,2627.68,2590.1,2627.68,3932668475.0,38835774587.6,1.19
2,1874642,2020-04-17,801030,化工,2593.63,2612.43,2593.2,2596.72,4391667111.0,43380552974.9,0.72
3,1874110,2020-04-16,801030,化工,2568.93,2582.31,2560.72,2578.19,4104029646.0,38002249584.56,-0.19
4,1873578,2020-04-15,801030,化工,2600.73,2605.95,2578.63,2583.13,4413337401.0,41791225621.27,-0.71
5,1873052,2020-04-14,801030,化工,2568.48,2601.49,2563.97,2601.49,4476601686.0,42919318029.99,1.83
6,1872520,2020-04-13,801030,化工,2540.36,2559.7,2533.83,2554.78,3987363011.0,38982927889.82,0.4
7,1871988,2020-04-10,801030,化工,2587.91,2589.75,2538.55,2544.51,4454910245.0,42435427303.61,-1.86
8,1871456,2020-04-09,801030,化工,2593.78,2596.9,2586.08,2592.61,4056080979.0,38690092780.08,0.35
9,1870924,2020-04-08,801030,化工,2565.89,2589.26,2562.26,2583.53,4727127464.0,44551335053.62,0.16
10,1870392,2020-04-07,801030,化工,2544.54,2582.6,2544.05,2579.43,5026462316.0,47704329102.68,3.06
11,1869860,2020-04-03,801030,化工,2513.48,2527.27,2495.95,2502.75,3979298521.0,38942472226.14,-0.46
12,1869328,2020-04-02,801030,化工,2439.3,2514.28,2439.03,2514.28,3732717249.0,37596794146.39,2.51
13,1868796,2020-04-01,801030,化工,2463.66,2493.01,2449.5,2452.74,3431326929.0,35160791179.44,-0.58
14,1868264,2020-03-31,801030,化工,2470.77,2481.69,2459.27,2466.94,3696998805.0,36567661199.93,0.8
15,1867732,2020-03-30,801030,化工,2467.04,2467.43,2425.09,2447.27,3963541770.0,38791873678.82,-1.86
16,1867200,2020-03-27,801030,化工,2529.97,2529.97,2493.11,2493.58,3408721381.0,34240427514.13,-0.3
17,1866668,2020-03-26,801030,化工,2513.51,2530.68,2499.23,2501.11,3699629048.0,36688818489.67,-1.09
18,1866136,2020-03-25,801030,化工,2521.15,2530.32,2503.43,2528.59,4274055987.0,43677430111.04,2.26
19,1865604,2020-03-24,801030,化工,2471.9,2474.73,2411.25,2472.59,4135089873.0,43154748454.97,1.69
20,1865072,2020-03-23,801030,化工,2486.01,2490.79,2425.12,2431.56,4222486004.0,43280606928.96,-4.73
21,1864540,2020-03-20,801030,化工,2554.05,2560.22,2521.69,2552.27,4539502491.0,52348998296.7,1.06
22,1864008,2020-03-19,801030,化工,2514.49,2537.71,2461.9,2525.59,4937096721.0,53253564348.3,0.23
23,1863476,2020-03-18,801030,化工,2577.91,2609.46,2519.7,2519.7,4883495194.0,52287564015.55,-1.26
24,1862944,2020-03-17,801030,化工,2565.21,2590.93,2472.86,2551.8,5136964237.0,50679922579.54,-0.26
25,1862412,2020-03-16,801030,化工,2682.61,2682.61,2551.44,2558.44,5860650362.0,58714221312.93,-3.8
26,1861880,2020-03-13,801030,化工,2569.82,2684.73,2569.82,2659.43,6019486166.0,57845714412.78,-2.05
27,1861348,2020-03-12,801030,化工,2755.61,2760.51,2693.94,2714.98,5690295852.0,56793306692.98,-2.84
28,1860816,2020-03-11,801030,化工,2841.71,2841.71,2794.34,2794.34,6517411216.0,65119166924.37,-1.75
29,1860284,2020-03-10,801030,化工,2768.71,2848.08,2741.82,2844.21,7881157027.0,77256025876.69,0.86
30,1859752,2020-03-09,801030,化工,2869.05,2881.58,2818.91,2819.87,8675109483.0,80475429628.48,-3.21
31,1859220,2020-03-06,801030,化工,2875.26,2928.81,2873.61,2913.41,7354521830.0,67344277475.36,0.55
32,1858688,2020-03-05,801030,化工,2876.69,2897.58,2861.48,2897.58,7050365254.0,69015635994.82,1.82
33,1858156,2020-03-04,801030,化工,2820.64,2852.41,2801.21,2845.74,5700542330.0,59618729667.75,0.46
34,1857624,2020-03-03,801030,化工,2841.34,2866.78,2809.58,2832.57,6831364884.0,70180303901.83,0.83
35,1857092,2020-03-02,801030,化工,2728.11,2817.75,2728.04,2809.14,6479368062.0,64401207782.75,4.23
36,1856560,2020-02-28,801030,化工,2741.33,2768.71,2693.14,2695.22,7069577869.0,67314910002.11,-4.57
37,1856028,2020-02-27,801030,化工,2841.96,2852.99,2798.36,2824.4,5947303253.0,59978484541.17,-0.2
38,1855496,2020-02-26,801030,化工,2854.89,2883.35,2822.56,2830.2,8020306228.0,79561525723.25,-2.05
39,1854964,2020-02-25,801030,化工,2834.6,2894.05,2783.02,2889.32,8655633618.0,89760011602.47,-0.27
40,1854432,2020-02-24,801030,化工,2875.72,2908.68,2851.48,2897.09,7328618269.0,78676633199.18,0.7
41,1853900,2020-02-21,801030,化工,2853.47,2883.35,2847.76,2877.06,6458882325.0,70002879157.01,0.7
42,1853368,2020-02-20,801030,化工,2819.28,2857.72,2802.71,2857.05,6313885573.0,68208754031.6,1.64
43,1852836,2020-02-19,801030,化工,2828.22,2838.03,2807.84,2811.03,6576311210.0,71912178656.88,-0.31
44,1852304,2020-02-18,801030,化工,2788.16,2819.84,2777.15,2819.84,6665577127.0,67388868433.95,1.02
45,1851772,2020-02-17,801030,化工,2718.33,2791.3,2718.27,2791.3,6277490859.0,60494596054.43,3.25
46,1851240,2020-02-14,801030,化工,2686.46,2709.06,2681.2,2703.41,5232890252.0,52477206000.11,0.41
47,1850708,2020-02-13,801030,化工,2721.23,2735.58,2692.25,2692.25,5338327781.0,53664160355.66,-0.84
48,1850176,2020-02-12,801030,化工,2664.26,2715.19,2664.26,2715.19,4678797561.0,47744075387.71,1.54
49,1849644,2020-02-11,801030,化工,2692.71,2692.74,2662.9,2673.97,4959616963.0,47269349457.77,-0.85
50,1849112,2020-02-10,801030,化工,2662.08,2697.33,2647.63,2696.95,6205100783.0,57963583006.39,1.63
51,1848580,2020-02-07,801030,化工,2649.43,2660.18,2606.47,2653.78,6311764624.0,57757959442.39,0.61
52,1848048,2020-02-06,801030,化工,2562.52,2644.37,2550.07,2637.63,5874781412.0,53062241227.7,3.02
53,1847782,2020-02-05,801030,化工,2514.93,2582.17,2514.82,2560.3,5558874747.0,53111065010.62,2.58
54,1847250,2020-02-04,801030,化工,2380.05,2500.67,2380.05,2495.94,6065526518.0,53522124731.39,1.09
55,1846718,2020-02-03,801030,化工,2449.82,2481.47,2449.82,2468.98,2750979782.0,25764668453.52,-8.54
56,1846186,2020-01-23,801030,化工,2781.93,2782.21,2675.28,2699.54,4617962970.0,47479874067.16,-3.7
57,1845654,2020-01-22,801030,化工,2771.91,2812.72,2741.06,2803.27,3865996409.0,39616975239.56,0.64
